81,FOREMAN: NO. 6?,NO. 6: Not guilty.,FOREMAN: NO. 7?,NO. 7: Guilty.,"GUARD: Is there anything wrong, gentlemen? I heard some noise.",FOREMAN: NO. 8?,2
82,NO.8: Not guilty.,FOREMAN: NO. 9?,NO.9: Not guilty. .,FOREMAN: NO. 10?,NO. 10: Guilty.,NO. 3: What do you mean? It's just common sense.,1
83,FOREMAN: NO.11?,NO.11: Not guilty.,FOREMAN: NO. 12?,NO.12: Guilty.,"NO. 11: I beg your pardon. Maybe you don't understand the term ""reasonable doubt.”",NO.4: Six to six.,2
84,NO.10 (mad) I’ll tell you something. The crime is being committed right in this room.,FOREMAN: The vote is six to six.,"NO. 3: I'm ready to walk into court right now and declare a hung jury. There's no point in this going on any
more.","NO. 7: I go for that, too. Let's take it in to the judge and let the kid take his chances with twelve other guys.","[NO. 4 sits silently. NO. 3 looks at him, and then he strides over to NO. 8]",NO. 5: (to NO. 7). You mean you still don't think there's room for reasonable doubt?,2
85,"NO. 7: No, I don't.","NO. 11: I beg your pardon. Maybe you don't understand the term ""reasonable doubt.”","NO. 7: (angry). What do you mean I don't understand it? Who do you think you are to talk to me like that? (To
all) How do you like this guy? He comes over here running for his life, and before he can even take a big breath
he's telling us how to run the show. The arrogance of him!",NO. 5: (to NO. 7). Wait a second. Nobody around here's asking where you came from.,NO. 7: I was born right here.,"GUARD: Is there anything wrong, gentlemen? I heard some noise.",1
86,"NO. 5: Or where your father came from. (He looks at NO. 7, who doesn't answer but looks away.) Maybe it
wouldn't hurt us to take a few tips from people who come running here! Maybe they learned something we don't
know. We're not so perfect!",NO. 11: Please—I am used to this. It's all right. Thank you.,NO.5: It's not all right!,"NO. 7: Okay, okay, I apologize. Is that what you want?",NO. 5: That's what I want.,"[NO. 8 puts his hand on NO. 9's arm and stops him. Somehow his touch and his gentle expression calm the old
man. He draws a deep breath and relaxes.]",1
87,FOREMAN: All right. Let's stop the arguing. Who's got something constructive to say?,"NO.2: (hesitantly). Well, something's been bothering me a little . . . this whole business about the stab wound
and how it was made, the downward angle of it, you know?",NO. 3: Don't tell me we're gonna start that. They went over it and over it in court.,"NO. 2: I know they did—but I don't go along with it. The boy is five feet eight inches tall. His father was six
two. That's a difference of six inches. It's a very awkward thing to stab down into the chest of someone who's
half a foot taller than you are.","[NO. 3 jumps up, holding the knife.]",NO. 7: Who says it's easy for me?,1
88,"NO. 3: Look, you're not going to be satisfied till you see it again. I'm going to give you a demonstration.
Somebody get up.","[He looks around the table. NO. 8 stands up and walks toward him. NO. 3 closes the knife and puts it in his
pocket. They stand face to face and look at each other for a moment.]","NO. 3: Okay. (To NO. 2) Now watch this. I don't want to have to do it again. (He crouches down now until he is
quite a bit shorter than NO. 8) Is that six inches?",NO. 12: That's more than six inches.,NO. 3: That's what I mean. That's the whole case.,"NO. 3: Okay, let it be more.",2
89,"[He reaches into his pocket and takes out the knife. He flicks it open, changes its position in his hand, and holds
the knife aloft, ready to stab. He and NO. 8 look steadily into each other's eyes. Then he stabs downward,
hard.]",NO. 2: (shouting). Look out!,[He stops short just as the blade reaches NO. 8's chest. NO. 3 laughs],NO. 6: That's not funny.,"NO. 7: Yeah, let's stick to the subject. (To NO. 5) I want to ask you what made you change your vote.",NO. 5: What's the matter with you?,2
90,"NO. 3: Now just calm down. Nobody's hurt, are they?","NO. 8: (low). No, nobody's hurt.","NO. 3: All right. There's your angle. Take a look at it. Down and in. That's how I'd stab a taller man in the
chest, and that's how it was done. Take a look at it and tell me I'm wrong.","[NO. 2 doesn't answer. NO. 3 looks at him for a moment, then jams the knife into the table and sits down. They
all look at the knife.]","NO. 6: Down and in. I guess there's no argument.
[NO. 8 picks the knife out of the table and closes it. He flicks it open, and changing its position in his hand,
stabs downward with it.]",FOREMAN: NO. 9?,1
91,NO. 8: (to NO. 6). Did you ever stab a man?,NO. 6: Of course not.,NO. 8: (to NO. 3). Did you?,"NO. 3: All right, let's not be silly.",NO. 3: (to NO. 8). What are you doing?,NO. 8: Did you?,2
92,"NO. 3: (loudly). No, I didn't!",NO. 8: Where do you get all your information about how it's done?,NO. 3: What do you mean? It's just common sense.,NO. 8: Have you ever seen a man stabbed?,NO. 4: 1 can't understand a word in here. Why do we all have to talk at once?,NO. 3: (pauses and looks around the room nervously) No.,2
93,"NO. 8: All right. I want to ask you something. The boy was an experienced knife fighter. He was even sent to
reform school for knifing someone, isn't that so?",NO. 12: That's right.,"NO. 8: Look at this. (NO.8 closes the knife, flicks it open, and changes the position of the knife so that he can
stab over-handed.) Doesn't it seem like an awkward way to handle a knife?",NO. 3: What are you asking me for?,NO. 5: (to NO. 7). You mean you still don't think there's room for reasonable doubt?,"[NO. 8 closes the blade and flicks it open, holds it ready to slash underhanded.]",2
94,NO. 5: Wait a minute! What's the matter with me? Give me that.,[He reaches out for the knife.],NO. 8: Have you ever seen a knife fight?,"NO. 5: Yes, I have.",NO. 8: In the movies?,NO. 8: (to NO. 3). Did you?,1
95,"NO. 5: In my back yard, on my stoop, in the vacant lot across the street, too many of them. Switch knives came
with the neighborhood where I lived. Funny I didn't think of it before. I guess you try to forget those things.
(Flicking the knife open) Anyone who's ever used a switch knife would never have stabbed downward. You
don't handle a switch knife that way. You use it underhanded.","NO. 8: Then he couldn't have made the kind of wound, which killed his father.","NO. 5: No, he couldn't have. Not if he'd ever had any experience with switch knives.",NO. 3:1 don't believe it.,NO. 10: Neither do 1. You're giving us a lot of mumbo jumbo.,NO. 10: You know it's possible.,1
96,NO.8: (to NO. 12). What do you think?,NO. 12: (hesitantly). Well . . . I don't know.,NO. 8: (to NO.7). What about you?,"NO. 7: Listen, I'll tell you something. I'm a little sick of this whole thing already. We're getting nowhere fast.
Let's break it up and go home. I'm changing my vote to not guilty.",NO. 10: All right. Forget it. It don't mean anything.,NO. 3: You're what?,2
97,NO. 7: You heard me. I've had enough.,NO. 3: What do you mean; you've had enough? That's no answer.,"NO. 11: (angry). I think perhaps you're right. This is not an answer. (To NO.7) What kind of a man are you?
You have sat here and voted guilty with everyone else because there are some theater tickets burning a hole in
your pocket. Now you have changed your vote for the same reason. I do not think you have the right to play like
this with a man's life. This is an ugly and terrible thing to do.",NO.7: Now wait a minute… you can't talk like that to me.,"NO. 11: (strong). I can talk like that to you! If you want to vote not guilty, then do it because you are convinced
the man is not guilty. If you believe he is guilty, then vote that way. Or don't you have the . . . the . . . guts—the
guts to do what you think is right?",NO. 3: You're what?,1
98,NO.7: Now listen....,NO. 11: 1s it guilty or not guilty?,NO. 7: (hesitantly). I told you. Not guilty.,NO. 11: (hard). Why?,NO.7.1 don't have to,NO. 4: The boy admits going out of his house at eight o'clock after being slapped by his father.,1
99,NO. 11.You have to! Say it! Why?,[They stare at each other for a long while.],NO.7: (low) l... don't think . . . he's guilty.,"NO. 8: (fast). I want another vote.
FOREMAN: Okay, there's another vote called for. I guess the quickest way is a show of hands. Anybody
object? (No one does.) All right. All those voting not guilty, raise your hands.","[Numbers 2, 5, 6, 7, 8, 9, and 11 raise their hands immediately. Then, slowly NO.12 raises his hand. The
foreman looks around the table carefully, and then he too raises his hand. He looks around the table, counting
silently.]","NO. 8: The old man heard the boy say, ""I'm going to kill you,"" and one second later he heard a body fall. One
second. That's the testimony, right?",1
100,FOREMAN: Nine. (The hands go down.) All those voting guilty.,"[Numbers 3, 4, and 10 raise their hands.]",FOREMAN:Three. (They lower their hands.) The vote is nine to three in favor of acquittal.,"NO.10: I don't understand you people. How can you believe this kid is innocent? Look, you know how those
people lie. l don't have to tell you. They don't know what the truth is. And lemme tell you, they— (NO.5 gets up
from table, turns his back to it, and goes to window.)—don't need any real big reason to kill someone either.
You know, they get drunk, and bang, someone's lying in the gutter. Nobody's blaming them. That's how they
are. You know what I mean? Violent!",[NO.9 gets up and does the same. He is followed by NO.11],NO. 8: (to NO. 5). Do you think he lied?,1
101,"NO.10: Human life don't mean as much to them as it does to us. Hey, where are you going? Look, these people
are drinking and fighting all the time, and if somebody gets killed, so somebody gets killed. They don't care.
Oh, sure, there are some good things about them, too. Look, I'm the first to say that.","[NO. 8 gets up, and then NO. 2 and NO. 6 follow him to the window.]","NO.10: I've known a few who were pretty decent, but that's the exception. Most of them; it's like they have no
feelings. They can do anything. What's going on here?","[The foreman gets up and goes to the windows, followed by NO. 7 and NO. 12:]",NO. 8: (calmly) Our fingers. Are you his executioner?,"NO.10:.1'm speaking my piece, and you listen to me! They're no good. There's not a one of ‘em who's any
good. We better watch out. Take it from me. This kid on trial....",2
102,"[NO. 3 sits at table toying with the knife, and NO. 4 gets up and starts for the window. All have their backs to
NO.10.]","NO.10: Well, don't you know about them? Listen to me! What are you doing? I'm trying to tell you
something....",[NO. 4 stands over him as he trails off. There is a dead silence. Then NO. 4 speaks softly.],"NO. 4: I've had enough. If you open your mouth again, I'm going to split your skull.",NO. 9: That's right. Bifocals. She never took them off.,"[NO. 4 stands mere and looks at him. No one moves or speaks. NO. 10 looks at him, then looks down at the
table.]",2
103,NO. 10: (softly). I'm only trying to tell you....,[There is a long pause as NO. 4 stares down at NO. 10:],NO. 4: (to all). All right. Sit down everybody.,"[They all move back to their seats. When they are all seated, NO. 4 then sits down.]","NO. 3: I'm ready to walk into court right now and declare a hung jury. There's no point in this going on any
more.","NO. 4: (quietly). I still believe the boy is guilty of murder. I'll tell you why. To me, the most damning evidence
was given by the woman across the street who claimed she actually saw the murder committed.",2
104,"NO. 3: That's right. As far as I'm concerned, that's the most important testimony.",NO. 8: All right. Let's go over her testimony. What exactly did she say?,"NO. 4: I believe I can recount it accurately. She said that she went to bed at about eleven o'clock that night. Her
bed was next to the open window, and she could look out of the window while lying down and see directly into
the window across the street. She tossed and turned for over an hour, unable to fall asleep. Finally she turned
toward the window at about twelve ten and as she looked out, she saw the boy stab his father. As far as I can
see, this is unshakable testimony.",NO. 3: That's what I mean. That's the whole case.,"[NO. 4 takes off his eyeglasses and begins to polish them, as they all sit silently watching him.]","NO. 10: I don't mind telling you this, mister. We don't owe him a thing. He got a fair trial, didn't he? You know
what that trial cost? He's lucky he got it. Look, we're all grownups here. You're not going to tell us that we're
supposed to believe him, knowing what he is. I've lived among 'em all my life. You can't believe a word they
say. You know that.",1
105,"NO. 4: (to the jury). Frankly, I don't see how you can vote for acquittal. (To NO. 12) What do you think about
it?",NO. 12: Well . . . maybe . . . there's so much evidence to sift.,"NO. 3: What do you mean, maybe? He's absolutely right. You can throw out all the other evidence.",NO. 4: That was my feeling.,NO. 8: I'm sorry for you.,"[NO. 2, polishing his glasses, squints at clock ,but can' t see it. NO. 6 watches him closely.]",2
106,NO. 2: What time is it?,NO. 11: Ten minutes of six.,NO. 2: It's late. You don't suppose they'd let us go home and finish it in the morning. I've got a kid with mumps.,NO. 5: Not a chance.,FOREMAN: NO. 10?,NO. 6: (to NO. 2). Pardon me. Can't you see the clock without your glasses?,2
107,NO. 2: Not clearly. Why?,"NO. 6: Oh, I don't know. Look, this may be a dumb thought, but what do you do when you wake up at night and
want to know what time it is?",NO. 2: What do you mean? I put on my glasses and look at the clock.,NO. 6: You don't wear them to bed.,NO. 2: Of course not. NO. one wears eyeglasses to bed.,NO. 8: Does anyone think there still is not a reasonable doubt?,1
108,NO. 12: What's all this for?,"NO. 6: Well, I was thinking. You know the woman who testified that she saw the killing wears glasses.",NO. 3: So does my grandmother. So what?,NO. 8: Your grandmother isn't a murder witness.,"NO. 6: Look, stop me if I'm wrong. This woman wouldn't wear her eyeglasses to bed, would she?",NO. 8: I don't know. It doesn't sound right to me.,1
109,FOREMAN: Wait a minute! Did she wear glasses at all? I don't remember.,"NO. 11: (excited). Of course she did! The woman wore bifocals. I remember this very clearly. They looked
quite strong.",NO. 9: That's right. Bifocals. She never took them off.,NO. 4: She did wear glasses. Funny. I never thought of it.,"NO. 8: Listen, she wasn't wearing them in bed. That's for sure. She testified that in the midst of her tossing and
turning she rolled over and looked casually out the window. The murder was taking place as she looked out, and
the lights went out a split second later. She couldn't have had time to put on her glasses. Now maybe she
honestly thought she saw the boy kill his father. I say that she saw only a blur.","NO. 8: An el takes ten seconds to pass a given point or two seconds per car. That el had been going by the old
man's window for at least six seconds and maybe more, before the body fell, according to the woman. The old
man would have had to hear the boy say, ""I'm going to kill you,"" while the front of the el was roaring past his
nose. It's not possible that he could nave heard it.",1
110,NO. 3: How do you know what she saw? Maybe she's far-sighted.,[He looks around. No one answers.],NO. 3: (loudly). How does he know all these things?,[There is silence.],NO. 8: Or punched.,NO. 8: Does anyone think there still is not a reasonable doubt?,2
111,"[He looks around the room, then squarely at NO. 10. NO. 10 looks down and shakes his head no]",NO. 3: (loudly). I think he's guilty!,NO. 8: (calmly). Does anyone else?,NO. 4: (quietly). No. I'm convinced.,"NO. 4: (to NO. 8). This knife is a pretty strong piece of evidence, don't you agree?",NO. 8: (to NO. 3). You're alone.,2
112,NO. 3: I don't care whether I'm alone or not! I have a right.,"NO. 8: You have a right.
[There is a pause. They all look at NO. 3:]","NO. 3: Well, I told you I think the kid's guilty. What else do you want?",NO. 8: Your arguments.,[They all look at NO. 3:],NO. 8: Where do you get all your information about how it's done?,1
113,NO. 3: I gave you my arguments.,NO. 8: We're not convinced. We're waiting to hear them again. We have time.,[NO. 3 runs to NO. 4 and grabs his arm.],"NO. 3: (pleading). Listen. What's the matter with you? You're the guy. You made all the arguments. You can't
turn now. A guilty man's gonna be walking the streets. A murderer. He's got to die! Stay with me.",NO. 4: I'm sorry. There's a reasonable doubt in my mind.,NO. 5: Not a chance.,1
